human_score,model_score,sentence1,sentence2
4.0,0.9745005,Mart aynı zamanda Çİn'deki ayaklanmanın tarihidir.,Başlangıçta Vitchilo March tarafından yayınlanan aynı zamanda Çİn'deki ayaklanmanın tarihidir.
5.0,1.0,Umarım her şey yolundadır!,Umarım her şey yolundadır.
3.2,0.6467054,Soruyu ABD'lilere sınırlamanın neden saçma olduğunu anlıyor musun?,ABD'de ikamet etmeyenlerin istatistiklerle neden de ilgili olduğunu anlıyor musunuz?
4.0,0.90608126,Geçmişte Varşova üzerinde UFO görmüştüm.,"Saygılarımla, Steve geçmişte Varşova üzerinde UFO gördüm."
4.6,0.8576258,hangi eylemin o anın çılgın melodi gündemini daha da ileriye taşıdıklarına bağlı olarak.,hangi eylemin lonny-tunes gündemini daha da ileriye taşıdıklarına bağlı olarak.
3.8,0.73900396,Hiçbir iddiada bulunmadığımı kabul ediyor musunuz?,Böylece hiçbir iddiada bulunmadığımı kabul edecek ve doğrulayacaksınız.
2.4,0.66849864,"Zimmerman, arabası tarafından yumruklandığını söylüyor.","""Arkadaşları"" arabasıyla karşı karşıya geldiğini söylüyor."
4.6,0.7499703,"Ortadoğu'da ""SAVAŞ"" diye bir şey yok.",Orta Doğu'da savaş yok.
3.8,0.73708117,Yaşam yanlısı olan bir kısım da yasal kürtaj karşıtlığıdır.,"Yaşam yanlısı aynı zamanda sadece ""kürtaj karşıtlığı"" anlamına gelir."
2.8,0.96854293,"Sermaye kazançları, en yüksek oran: yüzde."," - Gelir, en yüksek oran: yüzde."
2.8,0.56355363,Zombiler tarafından Sezonun Zamanı Hepimiz birçok harika ile dolu damarlarız.,Cheers'ın tema şarkısı: Hepimiz birçok harikayla dolu damarlarız.
4.0,0.4368462,"Hayır, sana kasıtlı olarak cahil olduğunu gösteriyorum.","LOL, çok cahilsin."
3.0,0.59015477,Hepimiz birçok harikayla dolu damarlarız.,Bobby Helm'den Jingle Bell Rock Hepimiz birçok harikayla dolu gemileriz.
2.46666666666667,0.9640033,Sorun kimin parası olduğu değil.,Sorun kimin parası olmadığı.
2.8,0.54844487,Ne yazık ki Ford vergi mükelleflerinin parasını kabul etti.,Ford şirketi kurtarmak için vergi mükelleflerinin parasını kabul etmedi.
1.0,0.7524747,Müslümanlar da Kur'an için aynı şeyi söylerlerdi.,Hindular da Bhagavad Ghita için aynı şeyi söylerdi.
3.8,0.64874667,Kafa karışıklığın beni yalancı yapmaz.,O zaman kafa karışıklığın beni de yalancı yapmaz.
1.6,0.36148757,Hristiyanlar aşırı olduğunda sadece dindir.,Müslümanlar aşırıya kaçtıklarında bu terörizmdir.
1.2,0.9532461,Bazıları 'hakkın' en önemli olduğuna inanıyor.,Bazıları doğmamışları katletmenin en önemli olduğuna inanır.
1.6,0.8806798,"Evrim bir fikir, inanç değildir.","Atom teorisi bir fikir, inanç değildir."
2.8,0.85097444,Başka bir kadının cesedi üzerinde karar verme hakkını iddia eden ben değilim.,Başkalarının bir kadın bedenine karar vermelerini istiyorsun.
0.8,0.25732693,Ron Paul dünyanın neresinde?,MEDYA dünyanın neresinde??
2.4,0.71238905,Pentagon'da bir füze kalıntısı yok.,Pentagon'da A'dan geriye bir kalıntı yok.
3.4,0.77361906,"Alıntı yaptığınız nokta ""Rehabilitasyonun asla işe yarayamayacağını söylemedim"" demelidir.","Trilyonuncu kez, rehabilitasyonun işe yaramadığını söylemedim."
1.53333333333333,0.9662765, milyar. Dünyadaki herkes Meksika'nın şu anki refah seviyesinde.,"Dünyadaki herkes Kuzeybatı Afrika'nın şu anki ""refah"" seviyesinde."
3.8,0.9308685,saçım güzel şey tho :/ Alıntı: Ditto.,saçım güzel şey tho :/ woops!
1.2,0.403194,Şaka evliliklerini durdurmaz.,Ve ben evlilik için savaşmam.
1.6,0.12420433,Fakir insanların yaptıklarından sorumlu olmadığını düşünüyor gibisin.,İnsanlar yaptıklarından sorumludur.
2.4,0.31830177,Bu işlem neden yapıldı?,İşlem gerçekleşti mi?
0.0,0.42726585,Bagajla ilgili.,Aynı şey değil.
3.6,0.81175447,Hepimiz birçok harikayla dolu damarlarız.,Kalbine Biraz Sevgi Koy Hepimiz birçok harikayla dolu damarlarız.
2.46666666666667,0.9640033,Sorun kimin parası olduğu değil.,Sorun kimin parası olmadığı.
1.6,0.36651742,Baykuşun katılmadığını nereden çıkardın?,Katılmadığı yazmıyor.
1.8,0.6402403,lol Dahililerinizi görmek için sabırsızlanıyoruz!,Görmek için sabırsızlanıyoruz!
1.2,0.8955991,Aslen jacko tarafından gönderildi!,Aslen IZZY tarafından gönderildi!
4.8,0.5579232,İpliğe başladığın için teşekkürler Candy.,Candy- Bugün bize başladığın için teşekkürler.
1.0,0.890238,Ama öyle değildi.,Ama yapamadılar.
2.2,0.9366694,"Sana borcum varsa, bir sorunum var.","Sana bir trilyon dolar borcum varsa, bir sorunun var demektir."
4.8,0.94040054,Bir pozisyonu destekleyecek kanıt sağlanmazsa; o zaman reddedilmelidir.,Bir pozisyon doğrulanamazsa; o zaman reddedilmelidir.
1.4,0.9726027,Meksika'nın şu anki refah seviyesindeki herkes.,"Dünyadaki herkes Kuzeybatı Afrika'nın şu anki ""refah"" seviyesinde."
1.8,0.77474385,"Bush, altındaki bütçe için sıfır kredi alır.",Obama da altındaki bütçe için sıfır kredi alıyor.
0.8,0.8163065,LOL ABD'de araç kullanmak için teste ihtiyacınız yok mu?,ABD'de ateşli silah sahibi olmak için bir test var mı?
3.2,0.7445176,İkimiz de filmin iyi olduğunu düşündük ve hiçbir şekilde kafa karıştırıcı bulmadık.,İyi olduğunu düşündüm ve kafa karıştırıcı bulmadım.
5.0,0.99319977,Eğer Tanrı yoksa ahlaki olarak yanlış bir şey olabilir mi?,"Tekrar soruyorum, Eğer Tanrı yoksa ahlaki olarak yanlış bir şey olabilir mi?"
3.6,0.550008,Bir yasa Anayasa ile çelişmiyorsa anayasaldır.,Anayasayı ihlal etmek anlamına gelir.
1.2,0.80568296,Aslen Müslüman kız ooops üzgünüm tarafından gönderildi!,"Aslen Müslüman kız tarafından gönderildi, tam bir imkansızlık değil."
1.4,0.711173,Burası senin ülken değil.,Burası bizim ülkemiz.
1.0,0.5198415,Aslen zaf tarafından yayınlanmış sanırım ortadaki su bir fark yaratıyor.,"Başlangıçta zaf tarafından uzun vadede gönderildi, evet."
4.2,0.8621264,Cone bir oyun attı.,Addie Joss Cone bir oyun çıkardı.
4.8,0.97901154,LashL tarafından düzenlendi: Küfürleri düzgün bir şekilde maskelemek için düzenlendi.,LashL tarafından düzenlendi: Alıntılanan gönderide küfürleri düzgün bir şekilde maskelemek için düzenlendi.
1.6,0.84928066,Jüriye jürinin hükümsüz kılınması hakkında bir şey söylenmedi.,Verdiğiniz alıntının jürinin hükümsüz kılınmasıyla bir ilgisi yok.
1.0,0.9236715,Kurbanı aşağı koşturarak kanıtın var mı?,Paranoyak bir kanıtın var mı?
4.2,0.9498428,"Arama düğmesini pek kullanmıyorsun, değil mi?","Arama düğmesini hiç kullanmıyorsun, değil mi?"
3.6,0.94498354,Paul'un şansı olduğunu sanmıyorum.,Paul'un şansı yok.
3.2,0.823014,Zombiler tarafından Sezonun Zamanı Hepimiz birçok harika ile dolu damarlarız.,Dünyaya Sevinç Hepimiz birçok harikayla dolu damarlarız.
4.57142857142857,0.9131174,Söylediğin saçma sapal şeyleri fark ettin mi?,"Ve dürüst olmak gerekirse, söylediğin saçma sapal şeyleri fark ettin mi?"
1.0,0.9106412,Ya bir çalışmayı berbat ederlerse?,Ya kişisel bir önyargıları varsa?
1.2,0.33627376,Özellikle de bir Baptist.,Özellikle Gnostic.
0.8,0.78663164,Ve doğu kıyısının büyük bir kısmı.,Ve batı yakasının bazı kısımları.
1.4,0.31425774,Neden İbrani kabilelerindeki kadınlardan bahsediyorsun?,"Savaş ödülü olarak kadınlardan bahsediyorduk, değil mi?"
2.6,0.6938157,Dün gece Japon kuvvetleri Hong Kong'a saldırdı.,Dün gece Japon kuvvetleri Filipin Adaları'na saldırdı.
3.6,0.49331278,". ""Yaşam gücü"" tanımınız nedir?","""Soul"" tanımınız nedir?"
2.6,0.35870263,Bu seçmenlere doğrudan sorumluluk değildir.,Evet ama seçmenlerine karşı sorumlular.
4.0,0.7519694,"İdeoloji şiddetli genişleme etrafında inşa edildi, yani evet - VIOLENT genişlemesi.",İdeoloji şiddetli genişleme ve ırk üstünlüğü üzerine inşa edildi.
4.6,0.9993293,Bu bir enema olabilir mi?,"@ossobuco, bu bir enema olabilir mi?"
0.4,0.6058238,Son sözüm: görmezden gelmek normalleşme etkisine sahiptir.,avantaj elde etmek takviye etkisine sahiptir.
4.4,0.79264784,Sorun büyük olasılıkla mekik filosu tekrar uçmaya başlamadan önce düzeltici değişiklikler anlamına gelecektir.,Uzay mekiği filosunun tekrar uçması için temizlenene kadar sorunun düzeltilmesi gerektiğini söyledi.
3.4,0.8036244,"SEC Başkanı William Donaldson, ""polisin tempoda olduğuna dair bir güven inşa etmek"" olduğunu söyledi.","""Bence polisin tempoda olduğuna dair bir güven var."""
4.6,0.8612107,"Özel doktoru, Myanmar'ın demokrasi yanlısı lideri Aung San Suu Kyi'nin Cuma günü geç saatlerde eve döneceğini, ancak Yangon'daki bir hastanedeki ameliyattan çıktıktan sonra gözaltında kalacağını söyledi.","Özel doktoru Cuma günü yaptığı açıklamada, Myanmar'ın demokrasi yanlısı lideri Aung San Suu Kyi'nin ameliyat olduğu hastaneden serbest bırakılmasının ardından ev hapsinde tutulacağını söyledi."
1.4,0.5589863,Spitzer sözcüsü Darren Dopp Perşembe günü geç saatlerde yorum yapmaktan kaçındı.,"Washington'daki komisyonun sözcüsü John Heine, Bay Spitzer'ın eleştirileri hakkında yorum yapmaktan kaçındı."
2.0,0.9660874,"Avrupa'da öğleden sonra işlemlerde Fransa'nın CAC-40'ı gelişmiş ve İngiltere'nin FTSE 100 endeksi yüzde 0,7 değer kazanırken, Almanya'nın DAX endeksi yüzde 0,6 yükseldi.","Avrupa'da Fransa'nın CAC-40 endeksi yüzde 1,3, İngiltere'nin FTSE 100 endeksi yüzde 0,2 ve Almanya'nın DAX endeksi yüzde 0,6 değer kazandı."
3.6,0.88210773,Sens. John Kerry ve Bob Graham konuşma davetlerini reddettiler.,Gösteriye massachusetts'den Sens. John Kerry ve Florida'dan Bob Graham geldi.
4.4,0.8826835,"Page, Y kromozomunda bulunan genlerin hastalığa yatkınlıktaki cinsiyete özgü farklılıkları etkileyebileceğini de söyledi.","Y üzerindeki genlerin, hastalığa yatkınlıkta cinsiyete özgü farklılıkları etkilemede rol oynayabileceğini de sözlerine ekledi."
4.8,0.87009937,"Mizacın en iyi çalışılan taraflarından biri, insanların yeniliklere nasıl tepki verdiklerine dairdir.","Mizacın belirleyici ve iyi çalışılmış özelliklerinden biri, insanların yeniliğe nasıl tepki verdiklerine dairdir."
4.6,0.64154935,Ancak sabah 1'den akşam 1'e kadar daha erken bir ışık döngüsüne maruz kalan kelebekler kendilerini güney-doğuya yönlendirdi.,"Ancak daha önceki bir ışık döngüsü altında bulunan kelebekler, 1:00-13.m.m."
2.8,0.8751161,"Dunlap hem mayo yarışmasını hem de yarışmanın yetenek bölümünü ""If I Could"" şarkısını söyleyerek kazandı.","""If I Could"" şarkısını söyleyerek yetenek bölümünü kazandı ve ayrıca gece kıyafetleriyle kazandı."
4.0,0.9402261,"Güney Asya'yı, yüzde 62'si kadın olmak üzere 1,1 milyon gencin enfekte olduğu yer alıyor.","Güney Asya'da enfekte olan 1,1 milyon kişinin %62'si kadın."
4.25,0.87323827,"Bir saat sonra, bir İsrail helikopteri Gazze'de bir arabaya füze fırlattı ve iki Hamas yetkilisi ve en az beş kişi daha öldü.","Filistinli kaynaklar, bir saat sonra İsrail saldırı helikopterlerinin Gazze kentinde bir arabaya füze yağdırdığını ve yedi kişinin öldüğünü söyledi."
5.0,0.9734339,"AAA sözcüsü Jerry Cheske, fiyatların bazı planları etkilemiş olabileceğini, ancak ucuz otel anlaşmalarının etkiyi azalttığını söyledi.","AAA sözcüsü Jerry Cheske, fiyatların bazı planları etkilemiş olabileceğini, ancak ucuz otel anlaşmalarının bunu telafi ettiğini söyledi."
3.5,0.7511269,Gruner ve Jahr'ın kendisini önemli editoryal kararlardan çıkararak onunla olan sözleşmesini bozdığını söyleyerek 125 milyon dolara karşı dava açtı.,125 milyon dolara karşı dava açtı ve G+J'nin kendisini önemli editoryal kararlardan çıkararak sözleşmesini bozdığını ve derginin finansal rakamlarını manipüle ettiğini söyledi.
2.5,0.47276407,Standard Edition işlemci başına 15.000 $ veya adlandırılmış kullanıcı başına 300 $ 'dır.,"Standard Edition One, Oracle Standard Edition Database'in tek işlemcili sürümüdür."
4.4,0.9572059,"Microsoft, bu yılın başlarında Connectix'in varlıklarını satın aldığında Virtual PC'yi satın aldı.","Microsoft, virtual pc'yi bu yılın başlarında geliştiricisi Connectix'ten satın aldı."
3.4,0.6675368,Leon Williams'ın cesedi Tompkinsville'deki 196 Bay Caddesi'ndeki üçüncü kattaki dairesinde bulundu.,"Ölen adam, Leon Williams, üçüncü kattaki dairesinde bulundu."
4.0,0.68422383,11 Eylül'de New York ve Washington'a düzenlenen terör saldırılarından bu yana yapılan ilk tatbikat.,"Bu, ülkenin 11 Eylül terör saldırısından bu yana 11 Eylül'den bu yana 2018'de 2018'de 2018'de 2018'de 2018'de 2018'de 2018'de 2018'de 2018'de"
4.8,0.9379524,"Ursel Reisen otobüsü işlettiği doğrulandı, ancak yolcuların karışık yaşlarda olduğunu söylemek dışında hiçbir ayrıntı vermedi.","Ursel Reisen, otobüsü işlettiğini doğruladı, ancak yolcuların karışık yaşlarda olduklarını söylemek dışında ayrıntıları vermekten kaçındı."
3.6,0.75621825,"Örgüt, güneydeki Basra kentinde toplam 17 vakanın doğrulandığını açıkladı.",Dünya Sağlık Örgütü tarafından dün Irak'ın güneyindeki Basra kentinde toplam 17 doğrulanmış kolera vakası bildirildi.
3.4,0.8601715,Bölge gezisi sırasında Yemen ve Bahreyn'i de ziyaret etmesi bekleniyordu.,"Pazartesi günü Beyrut'a gelen Khatami'nin Suriye, Yemen ve Bahreyn'i de ziyaret edecekti."
3.6,0.638861,"General Myers gazetecilere verdiği demeçte, ""ilk bakışta herhangi bir kural çiğnenmiş gibi görünmediğini"" söyledi.","Genelkurmay Başkanı General Richard Myers, ""İlk bakışta, herhangi bir kural çiğnenmiş gibi görünmüyor,"" dedi."
3.4,0.9250103,"Millville oğlunun fedakarlığının duyulmayacağını kanıtlayan Belediye Başkanı James Quinn, önümüzdeki 30 gün boyunca tüm şehir bayraklarının yarıya indirilmesini emretti.","Dün Millville'de, Belediye Başkanı James Quinn önümüzdeki 30 gün boyunca yarım personelle tüm şehir bayraklarının uçurulmasını emretti."
4.25,0.9552091,"Ohio merkezli Doğu Orta Alan Güvenilirlik Konseyi Kanton'un operasyon ve kaynak müdürü Tom Kraynak, senaryonun müfettişlerin düşündüğü birçok senaryo arasında yer aldığını söyledi.","Ohio merkezli Doğu Orta Alan Güvenilirlik Konseyi Kanton'un operasyon ve kaynak müdürü Tom Kraynak, müfettişlerin senaryoyu değerlendirdidiğini söyledi."
4.25,0.6707421,Sadece ozon kolesterolü bozduğunda üretilebilen moleküller buldular.,Ve tüm örnekler sadece kolesterol ozonla etkileşime girdiğinde üretilebilen moleküller içeriyordu.
3.846,0.90620154,Bir santimetreküpte yaklaşık 12 saatlik müziğe eşdeğer bir gigabayttan fazla bilgi depolayabilir.,Ve 1.000 yüksek kaliteli görüntüye veya yaklaşık 12 saatlik müziğe eşdeğer bir gigabayttan fazla bilgiyi sadece bir santimetreküpte saklayabilir.
1.2,0.7766886,"Bu ayın başlarında RIM, hisse başına 7 sent ile 11 sent arasında ikinci çeyrek kazancı bildirmeyi beklediğini söylemişti.","Yasal ücretler ve diğer ücretler hariç olmaksa, hisse başına 1 ila 4 sent arasında bir kayıp bekliyordu."
3.2,0.9289969,"Dün yayınlanan özlere göre, ""Benim için Lewinsky imbroglio, siyasi muhalifler tarafından üretilen başka bir kısır skandal gibi görünüyordu.""","Bayan Clinton, ""Benim için Lewinsky imbroglio, siyasi muhalifler tarafından üretilen başka bir kısır skandal gibi görünüyordu,"" diye yazıyor."
3.8,0.9289139,"Savcılar, 2001 ve 2002'de şirketin 40 hesabının 4'ünden yapılan havalelerin toplam 3,2 milyar dolardan fazla olduğunu ileri sederek, ""2001 ve 2002'de, şirketin 40 hesabından yapılan havalelerin toplam 3,2 milyar dolardan fazla olduğunu"" ileri sederek, 2001 ve 2002'de 40'tan fazla banka havalesi gerçekleşti.","Morgenthau, Beacon Hill'de açılan 40 hesabın dördünden yapılan havalelerin 2001'den 2002'ye kadar toplam 3,2 milyar dolardan fazla olduğunu söyledi."
3.2,0.93504566,"Stony Brook Üniversitesi, daha önceki çalışmaların elektromanyetik alanlar ile kanser arasında olası bir bağlantı olduğunu belirtmesi üzerine çalışmayı 1996 yılında başlattı.","Stony Brook'taki Devlet Üniversitesi, daha önceki çalışmaların olası bir bağlantı olduğunu belirterek çalışmayı 1996 yılında başlattı."
4.0,0.8667606,"Daha önce, bir polis emrine karşı gelip, Beşir sıkı korunan mahkeme salonundaki koltuğuna yürürken ""Allahu Ekber"" (Tanrı En Büyüktür) diye ağlamışlardı.","Daha önce, Beşir'in destekçileri bir polis emrine karşı gelmiş ve koltuğuna yürürken ""Allahu Ekber (Tanrı En Büyüktür)"" diye ağlamıştı."
3.333,0.78262967,"Metropolitan Ambulans sözcüsü James Howe, dünkü olaydan sonra beş kişinin hastaneye kaldırıldığını ve üçünün olay yerinde tedavi edildiğini söyledi.","Sözcü James Howe, yaşları 4 ile 17 arasında değişen beş çocuğun boyun ve göğüs yaralanmasıyla hastaneye kaldırıldığını, diğer üç çocuğun ise olay yerinde tedavi edildiğini söyledi."
2.0,0.8190651,Ancak Ortak İstihbarat Komitesi'nin bu işe karışmadığı açık.,Bu rapor Ortak İstihbarat Komitesi tarafından temizlendi.
2.6,0.84818727,"Yirmili yaşların yaklaşık% 22'si obezdir, bu da sağlıklı bir kilonun yaklaşık 30 pound üzerindedir.",Amerikalıların yaklaşık yüzde 31'i şu anda obez - sağlıklı bir kilonun yaklaşık 30 veya daha fazla pound.
3.0,0.6931179,"Hit bir İngiliz komedisinin Amerikan versiyonu olan Coupling, değerli Perşembe 21:30.m. zaman dilimini alacak.","Hit bir İngiliz komedisinin Amerikan versiyonu olan Coupling, Perşembe günleri Friends ile çift olacak."
2.6,0.69030976,Cesedi birkaç hafta sonra Green River'da bulundu.,"15 Ağustos 1982: Chapman, Hinds ve Mills kalıntıları Green River'da bulundu."
2.8,0.59689003,"Batılı isyancı komutan Ousmane Coulibaly Pazar günü uydu telefonuyla Reuters'e verdiği demeçte, ""Çatışmalar gece yarısına kadar devam etti."" dedi.","İsyancı komutan Ousmane Coulibaly Reuters'e çalılıktan uydu telefonuyla verdiği demeçte, ""İki köyü yağmaladılar ve tamamen yaktılar."" dedi."
3.0,0.81481916,"Hem Ağustos hem de Temmuz ayı için yapılan okuma, anketin başladığı Ağustos 1997'den bu yana görülen en iyi okuma oldu.",Endeksin oluşturulduğu Ağustos 1997'den bu yana en yüksek okumadır.
3.2,0.88416624,"ABD Özel Kuvvetler askerleri, Kolombiya'nın en büyük ikinci petrol sahasından ham petrol taşıyan boru hattını korumak için bölgedeki askeri üslerde Kolombiyalı askerlere eğitim veriyor.","ABD Özel Kuvvetler askerleri, boru hattını korumak için bölgedeki askeri üslerde Kolombiyalı askerlere eğitim yapıyor."
2.6,0.80128753,"Strayhorn, Temmuz ortasına kadar bütçeye gittiğiniz için onaylanabilir bir ücrete ihtiyacımız olduğunu, aksinin eylül ayında okulların açılmayacağını söyledi.","Müfettiş Carole Keeton Strayhorn Perşembe günü yaptığı açıklamada, Teksaslı milletvekillerinin 185,9 milyon dolarlık bütçe açığını Temmuz ayı ortasına kadar kapatmaları gerektiğini, aksi yöndeki okulların Eylül ayında açılmayacağını söyledi."
2.5,0.8675785,Hartford hisseleri New York Borsası bileşik işlemlerinde 2.88 dolar artarak 46.50 dolara yükseldi.,Hartford hisseleri gün ortası işlemlerinde 2.28 dolar veya yüzde 5.2 artışla 45.90 dolara yükseldi.
4.5,0.8687583,Bunun üzerine DVD-CCA eyalet Yüksek Mahkemesi'ne başvurdu.,DVD CCA bu kararı ABD Yüksek Mahkemesi'ne temyiz etti.
3.25,0.8087894,"Country-music istasyonu KKCS, bir grup üyesinin Başkan George Bush'u eleştirmesi üzerine getirilen yasağı ihlal ederek Dixie Chicks'in şarkılarını çaldığı için iki disk jokeyi askıya aldı.","Bir radyo istasyonu, kendilerini stüdyoya kilitleyip sürekli Dixie Chicks şarkıları çaldıklarından dolayı iki disk jokeyi askıya aldı ve istasyonun grubun müziğine yönelik iki aylık yasağını ihlal etti."
4.0,0.93114966,Sovereign'in hisseleri 74 sent ya da %4.5 kayıpla 15.68 dolara geriledi.,Egemen hisseler New York Borsası'nda 74 sent ya da yüzde 4.5 düşüşle 15.68 dolardan kapandı.
2.2,0.86632603,Aspen Technology'nin hisseleri 74 sent ya da yüzde 23 düşerek Nasdaq'ta 2.48 dolardan kapandı.,Öğleden sonra işlemlerinde Aspen'in hisseleri hisse başına 2.33 dolardan 89 sent veya yüzde 27'den fazla düştü.
2.8,0.58974445,"Yeni yasa, kütüphanelerin ve okulların filtre kullanmasını veya federal finansmanı kaybetmesini gerektiriyor.","6-3 kararı, kütüphanelere filtre takmalarını veya federal parayı teslim etmelerini söyleyen bir yasayı yeniden yürürlüğe kondıyor."
3.6,0.9113799,"Buna ek olarak, ABD ve İsrail'e Arafat Bey'in etrafında çalışmanın bir yolunu sundu.","İlkbaharda başbakanlık görevi kurulduğunda, ABD ve İsrail'e Arafat'ın etrafında çalışmanın bir yolunu sundu."
2.6,0.85950303,"Ve evet, Marilyn Monroe kesinlikle hikayenin bir parçası, ""Arthur Miller, Elia Kazan ve Kara Liste: Günahsız Yok.""","""American Masters"" serisindeki bu korkunç kıssanın alt başlığına dikkat edin, ""Arthur Miller, Elia Kazan ve Kara Liste: Günahsız Yok."""
3.8,0.9241274,"Gilroy polisi ve FBI ajanları Gehring'i işbirlikçi olarak nitelendirmekle birlikte, Cumartesi günü yaptığı açıklamada çocuklara ne olduğu hakkında hiçbir şey açıklamadığını söyledi.","Cumartesi günü, Kaliforniya' daki yetkililer Gehring' i işbirliği olarak nitelendirmekle birlikte, çocuklara ne olduğu hakkında hiçbir şey açıklamadığını söylediler."
3.2,0.80379325,"Scribner'ın cesedi, karısıyla birlikte yüzen bir evde yaşadığı portage koyunda yüzerken bulundu.","Bir kanocu, Dr. Scribner'ın cesedini Portage Körfezi'ndeki doktorun yüzen evinin yanında yüzerken buldu."
5.0,0.9490065,"Protestocuların sahneye hücum etmesi ve mikrofonun elektriğini iki kez kesmesi üzerine Hedges, konuşmayı erken bir kapanışa çekti.",Protestocuların sahneye hücum etmesi ve mikrofonun elektriğini iki kez kesmesi üzerine Hedges konuşmasını kısa kesti.
4.0,0.9029743,"Yoldan geçen biri, Ben'i saat 19.m sularında İspanyol Çatal Kanyonu'nda toprak bir yol boyunca saklanırken buldu.","Yoldan geçen bir kişi çocuğu saat 19.m sularında İspanyol Çatal Kanyonu'nda toprak bir yolda saklanırken buldu. Perşembe günü, ayakları serbest ama elleri hala bantlı."
5.0,0.8023893,"Doktorlar, bir ya da her iki erkek çocuğun da ölebileceğini ve hayatta kalmaları durumunda beyin hasarının mümkün olabileceğini söylüyor.","Doktorlar, çocuklardan birinin veya her ikisinin de ölebileceğini ve hayatta kalırlarsa beyin hasarının mümkün olduğunu söyledi."
2.2,0.8533891,"Ayrıca Fort Worth, Teksas'ta yaşayan 31 yaşındaki Al Larsen da kayıp.","Salı sabahı kurtarılan diğer kurban Fort Worth, Teksas'lı 31 yaşındaki Al Larsen'dı."
4.2,0.8686795,"İngiltere merkezli GlaxoSmithKline Plc, bu yılın başlarında ABD'ye giden Kanadalı eczanelere tedariki keseceğini söylemişti.","İngiltere'deki uyuşturucu üreticisi GlaxoSmithKline, ABD'ye uyuşturucu sevkiyatı yapılan Kanadalı mağazalara verilen arzı keseceğini söyledi."
2.818,0.71124935,"Festival, Rekabet Komisyonu'nun önerilen 4,1 milyar sterlinlik birleşmeyle ilgili nihai kararını Hükümete iletmesinden bir gün sonra dün başladı.","Rekabet Komisyonu, iki büyük ITV oyuncusu Carlton ve Granada'nın birleşme önerisiyle ilgili kararını dün verdi."
3.875,0.7914051,Israr ettiğini ve sonunda arabasının ön koltuğunda otururken bisikletini tamir etmesine izin verdiğini söyledi.,Sonunda arabasında otururken bisikletini tamir etmesine izin verdiğini söyledi ve sohbet ettiler.
4.4,0.98412,"Daniels, Bush'un bu geceki kişi başı 2000 dolarlık başkanlık bağış toplantısında onun hakkında ne diyeceğini bilmediğini söyledi.","Daniels, Bush'un bu akşamki kişi başı 2000 dolarlık resepsiyonda başkanlık seçimlerine bağış toplamak için ne diyeceğini bilmediğini söyledi."
2.8,0.8202907,"11. ABD Devre Temyiz Mahkemesi'nin üç yargıçtan oluşan heyeti Cuma günü geç saatlerde küçük boyut, sınırlı kullanım ve laik amacın görüntüyü meşru hale getirmeye karar verdi.","St. Louis'deki 8'inci ABD Devre Temyiz Mahkemesi'nin üç yargıçtan oluşan heyeti, geçen yıl yayınlanan ve yönetmeliği destekleyen bir kararı bozdu."
3.8,0.62974244,Sadece 29 kurbağa ailesi bilinmektedir ve çoğu 1800'lerin ortalarında ve sonuncusu 1926'da tanımlanmış ve tanımlanmıştır.,Çoğu 1800'lerin ortalarında isimlendirilen sadece 29 kurbağa ailesi bilinmektedir.
4.4,0.8611934,"Brandeis'teki yetkililer, bunun kampüs için ""son derece yürek burkıcı"" bir zaman olduğunu söylediler.","""Bu, tüm Brandeis Üniversitesi topluluğu için son derece yürek burkan bir zaman."
5.0,0.97834593,"Corel'e göre, değer dönüştürülebilir menkul kıymetler de dahil olmak üzere yaklaşık 124 milyon doları bulacak.","Corel'e göre, dönüştürülebilir menkul kıymetler de dahil olmak üzere anlaşmanın toplam tahmini değeri 124 milyon dolar."
3.0,0.890848,Miami'nin Washington'a 27-17 yenildiği 1983 Super Bowl'da başladı.,Dolphins'in Super Bowl'da Washington'a 27-17 mağlup olduğu maç da dahil olmak üzere Miami'de dört sezon oynadı.
2.667,0.71205986,Nterprise Linux Services'ın bu yılın sonundan önce kullanıma sunulması bekleniyor.,Nterprise Linux Services'ın beta sürümlerinin Temmuz ayında belirli HP ProLiant sunucularında kullanıma sunulması bekleniyor.
2.333,0.8316028,"Tek seferlik kalemler hariç, şirket hisse başına 6 sent kar elde etti.","Tek seferlik kalemler hariç, hisse başına 11 ila 15 sent kar bekliyor."
3.0,0.95375603,"""Ama bir konuşmanın amaçları için bir savaşçının gardırbını üstlenen masa başı bir başkanın gerekçelerini sorguluyorum.""","Senato katından konuşan Byrd, ""bir konuşma amacıyla bir savaşçının gardırbını üstlenen masa başı bir başkanın gerekçelerini"" sorguladığını söyledi."
1.3330000000000002,0.84803164,Daha geniş Standart & Fakir 500 Endeksi . SPX 3 puan veya yüzde 0.30 düşerek 995'e geriledi.,"Teknolojiye bağlı Nasdaq Bileşik Endeksi <.IXIC> 1,647,94 puandan 1,92 puan veya yüzde 0,12 değer kazandı."
3.8,0.8242899,"Bunun yerine, Jersey reçeli için biletler dün gece Ticketmaster aracılığıyla satışa çıktı.",Ticketmaster aracılığıyla satışa sunulan biletler dün satışa çıktı.
3.4,0.61937743,"Pazartesi günü erken saatlerde Grant Thornton SpA, ""hileli eylemlerin kurbanı"" olduğu yönündeki önceki açıklamalarını tekrarladı.","Grant Thornton da bir dolandırıcılığın ""kurbanı"" olduğunu iddia ediyor."
